_id,id,genres,rating,release_date,runtime,source,summary,title,type
685682fc8482e0a7a00726e1,tmdb_977294,"Action, Thriller",4.898,2025-05-22,0,tmdb,"An ex-special forces operative seeks revenge against a cult leader who has corrupted his former comrades, the Shinjas. This leader, known as The Bokushi, promises veterans a purpose and protection, but is revealed to be a destructive influence. The ex-soldier, Nash Cavanaugh, joins forces with military operative Emmanuel Ashburn to infiltrate the Bokushi's fortress and expose his reign of terror",Tin Soldier,movie
685682fc8482e0a7a00726e2,tmdb_911430,"Action, Drama",9.0,2025-06-25,0,tmdb,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,F1 The Movie,movie
685682fc8482e0a7a00726e3,tmdb_1124620,"Horror, Comedy",5.954,2025-02-14,0,tmdb,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",The Monkey,movie
685682fc8482e0a7a00726e4,tmdb_1087192,"Action, Family, Fantasy",8.006,2025-06-06,0,tmdb,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",How to Train Your Dragon,movie
685682fc8482e0a7a00726e5,tmdb_1181039,"Action, Adventure, Horror",8.0,2023-09-22,0,tmdb,"Adapted from the 3rd volume in the novel series ""Candle in the Tomb"" by Zhang Mu Ye. Hu Bayi, Wang Kaixuan, and Shiely Yang, infected with a curse, embark on a journey to King Xian's tomb to retrieve the Haochen Bead and break the curse. They face ancient organs, ghostly visions, explosive bugs, and a massive salamander.",Candle in the Tomb: The Worm Valley,movie
685682fc8482e0a7a00726e6,tmdb_1442776,"Action, Thriller, Horror",0.0,2024-03-27,0,tmdb,"A young man climbs into the mountains to pick up a meteorite that has fallen there and is killed by something. The ""thing"" descends to the village and begins to eat the inhabitants one by one, terrorizing the entire island.",Crazy Lizard,movie
685682fc8482e0a7a00726e7,tmdb_1376434,"Animation, Action, Science Fiction",7.99,2025-06-05,0,tmdb,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",Predator: Killer of Killers,movie
685682fc8482e0a7a00726e8,tmdb_1379587,"Mystery, Thriller, Action, Science Fiction",5.432,2024-12-09,0,tmdb,"A soldier searching for his missing wife breaks into a high-tech facility, believing she's been caught in a human trafficking ring. But beyond its walls, he finds a surreal, futuristic fantasy park where reality and illusion blur. As he navigates this seductive and dangerous world, a shocking truth pulls him deeper into a deadly game where nothing is as it seems.",Utopia,movie
685682fc8482e0a7a00726e9,tmdb_1017163,"Action, Crime, Drama, Thriller, Comedy",6.854,2024-04-24,0,tmdb,'Monster Cop' Ma Seok-do investigates an illegal online gambling business led by a former STS Baek and an IT genius CEO Chang. Ma proposes an unexpected alliance to Jang and begins hunting down the criminals.,The Roundup: Punishment,movie
685682fc8482e0a7a00726ea,tmdb_1152619,Horror,4.0,2024-04-12,0,tmdb,"Follows a father who seeks a fresh start with his son after the loss of his wife, and purchased a storage unit facility sight unseen, but secrets buried behind the metal doors become a parent's worst nightmare.",Possessions,movie
